"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Kieron Pope","Orioles (A)","21","107","383","421","89","57","18","2","12","50","45","21","0","139","17","0","0","9","7","3",".232","sa294373"
"James Simmons","Giants (A)","22","107","354","386","82","62","12","3","5","49","37","22","0","132","1","2","7","6","25","10",".232","sa326261"
"Thomas Hickman","Marlins (A)","20","101","338","398","78","43","18","2","15","45","59","49","1","103","7","3","1","3","1","0",".231","sa326537"
"John Tolisano","Blue Jays (A)","19","120","432","496","99","65","20","8","6","64","47","56","0","110","1","6","1","8","5","2",".229","sa389891"
"Abraham Almonte","Yankees (A)","19","115","443","495","101","66","20","7","8","61","46","47","1","101","1","1","3","4","29","10",".228","5486"
"Elijah Rumler","Diamondbacks (A)","23","113","399","472","90","69","18","0","3","54","31","49","0","87","18","3","3","14","2","8",".226","sa390705"
"Sergio Morales","White Sox (A)","20","112","401","456","90","58","24","2","6","62","27","50","0","132","2","3","0","4","18","2",".224","sa327721"
"Joe Mahoney","Orioles (A)","21","95","352","387","78","48","22","1","7","37","61","24","1","96","4","6","1","7","2","0",".222","8179"
"Cliff Andersen","Cubs (A)","20","106","366","417","81","62","13","3","3","43","21","33","0","118","12","1","5","9","10","5",".221","sa327069"
"Ryan Eigsti","Royals (A)","22","105","331","376","72","44","18","1","9","33","35","20","0","104","18","5","2","9","1","2",".218","sa389865"
"Michael McCormick","Rays (A)","21","106","375","414","81","52","15","1","13","37","49","31","0","93","2","5","1","10","2","1",".216","sa291412"
"Adam White","Indians (A)","23","129","455","540","98","76","14","4","4","78","40","62","1","116","4","4","15","0","32","11",".215","sa389176"
"Steve Brown","Astros (A)","21","102","340","375","72","46","13","3","10","46","31","22","1","98","9","1","3","2","15","6",".212","sa328854"
"Johermyn Chavez","Blue Jays (A)","19","115","402","439","85","56","20","2","7","40","39","25","0","128","9","2","1","11","9","5",".211","sa328855"
"Austin McClune","Pirates (A)","20","112","425","485","88","68","12","4","4","49","40","36","0","87","5","5","14","9","10","11",".207","sa326816"
