"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Casey Benjamin","Rangers (AA)","26","131","469","558","114","74","25","5","10","73","54","72","2","72","3","2","12","10","8","1",".243","sa226348"
"Michael Collins","Angels (AA)","22","119","429","463","104","78","18","3","5","43","45","12","0","70","15","2","5","13","5","4",".242","sa201125"
"Josh Asanovich","Devil Rays (AA)","24","121","401","457","97","72","19","1","5","45","34","39","0","70","7","2","8","10","7","5",".242","sa253801"
"Luis Hernandez","Orioles (AA)","23","92","364","393","88","67","15","6","0","42","37","18","0","50","1","4","6","6","6","5",".242","3206"
"Irving Falu","Royals (AA)","24","131","476","525","115","96","12","6","1","46","28","35","0","44","1","2","11","13","15","9",".242","6165"
"Matthew Allegra","Twins (AA)","25","106","373","413","90","45","30","2","13","57","57","32","1","94","5","2","1","10","2","2",".241","sa199045"
"Chip Cannon","Blue Jays (AA)","25","109","394","455","95","54","23","1","17","57","53","54","3","155","3","4","0","7","1","0",".241","sa253753"
"Brant Colamarino","Athletics (AA)","26","101","361","405","87","56","22","0","9","40","44","32","0","78","10","1","1","7","1","1",".241","sa201549"
"Jake Wald","Giants (AA)","26","115","361","414","87","55","21","4","7","45","38","31","0","94","14","0","8","4","11","3",".241","sa201574"
"Matt Cepicky","Orioles (AA)","29","104","362","410","87","47","21","4","15","46","54","41","5","112","1","6","0","5","1","2",".240","1562"
"Luis Valbuena","Mariners (AA)","21","122","444","505","106","69","23","3","11","55","44","48","2","83","1","6","6","9","10","6",".239","4969"
"Grant Psomas","Marlins (AA)","24","129","442","509","105","55","28","4","18","66","57","53","0","119","10","4","0","8","9","6",".238","sa253875"
"Steve Moss","Brewers (AA)","23","124","443","522","103","66","21","5","11","56","56","69","4","124","3","2","5","11","12","5",".233","sa202653"
"Christopher Kelly","White Sox (AA)","25","123","459","496","106","82","19","0","5","36","44","18","0","97","4","8","7","10","0","0",".231","sa225682"
"Bryan Bass","Orioles (AA)","25","107","339","385","77","48","18","0","11","51","36","34","1","116","3","2","7","7","16","4",".227","sa201193"
"Vince Faison","Athletics (AA)","26","99","348","384","79","47","18","9","5","36","46","23","0","83","3","1","9","4","11","3",".227","sa198295"
"Christopher Minaker","Mariners (AA)","23","101","353","390","80","66","10","1","3","38","27","26","0","65","4","4","3","10","2","7",".227","sa327099"
"Cory Dunlap","Dodgers (AA)","23","121","399","475","90","65","18","0","7","46","60","68","4","76","2","6","0","13","0","0",".226","sa253555"
"Van Pope","Braves (AA)","23","123","421","472","94","61","23","4","6","48","43","36","1","77","9","1","5","7","10","5",".223","sa254353"
"Cody Fuller","Angels (AA)","24","106","330","386","73","58","10","3","2","37","28","31","0","89","8","4","12","6","20","8",".221","sa291716"
"Ryan Klosterman","Blue Jays (AA)","25","103","341","393","70","49","17","1","3","43","29","37","1","68","7","1","6","6","22","4",".205","sa254350"
"Kody Kirkland","Tigers (AA)","24","123","411","475","83","44","22","3","14","57","51","41","3","127","10","9","4","6","9","6",".202","sa202138"
