Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Tim Pahuta,444.000,7.400,18.700,0.269,0.327,0.459,0.786
Tim Smith,538.000,6.100,15.100,0.300,0.359,0.450,0.809
Tito Polo,414.000,6.800,18.600,0.236,0.313,0.328,0.641
Todd Glaesmann,392.000,5.600,22.700,0.281,0.338,0.469,0.806
Todd Johnson,444.646,8.665,18.702,0.263,0.332,0.402,0.734
Tom Belza,583.000,9.600,16.800,0.260,0.334,0.387,0.722
Tomas Telis,494.000,3.600,7.100,0.297,0.329,0.430,0.759
Tommy Joseph,473.000,5.500,24.500,0.236,0.290,0.401,0.691
Tommy Manzella,387.000,8.500,20.700,0.275,0.340,0.408,0.749
Tony Delmonico,428.000,10.700,20.100,0.285,0.383,0.430,0.813
Tony Festa,432.000,9.700,13.000,0.290,0.378,0.401,0.778
Tony Granadillo,486.000,8.800,16.300,0.283,0.360,0.455,0.814
Tony Mansolino,413.000,7.000,17.400,0.234,0.290,0.324,0.615
Tony Mueller,483.000,8.700,14.700,0.266,0.335,0.285,0.620
Tony Renda,606.000,11.200,10.700,0.294,0.380,0.405,0.785
Tony Thompson,446.000,8.300,12.800,0.259,0.330,0.408,0.738
Torsten Boss,447.000,11.900,23.700,0.238,0.333,0.358,0.690
Trace Loehr,388.516,5.049,17.988,0.258,0.297,0.357,0.654
Trae Santos,509.000,11.200,21.200,0.264,0.359,0.455,0.814
Travis Blankenhorn,508.000,9.300,23.400,0.251,0.343,0.441,0.784
Travis Demeritte,466.000,10.700,36.700,0.211,0.310,0.450,0.760
Travis Harrison,537.000,12.700,23.300,0.253,0.366,0.416,0.782
Travis Mattair,514.095,8.772,23.226,0.245,0.324,0.331,0.654
Travis Snider,517.000,9.500,25.000,0.313,0.377,0.525,0.902
Travis Whitmore,469.000,10.200,20.000,0.277,0.356,0.394,0.750
Travis Witherspoon,451.000,8.000,22.800,0.245,0.313,0.394,0.706
Travis d'Arnaud,540.000,7.600,13.900,0.255,0.319,0.419,0.738
Trayce Thompson,597.000,10.100,28.800,0.241,0.329,0.457,0.785
Trayvon Robinson,443.000,7.200,26.900,0.253,0.314,0.311,0.625
Trent Gilbert,521.000,7.100,20.000,0.269,0.327,0.380,0.707
Trever Adams,448.000,6.500,16.300,0.286,0.331,0.421,0.752
Trevor Brown,423.000,6.400,12.300,0.250,0.304,0.326,0.630
Trevor Hairgrove,393.000,4.300,17.600,0.221,0.260,0.301,0.561
Trevor Mitsui,475.000,4.800,21.500,0.291,0.326,0.388,0.715
Trevor Story,548.000,10.900,22.100,0.277,0.367,0.505,0.872
Trey Hendricks,410.000,6.300,13.700,0.230,0.281,0.319,0.600
Trey Martin,400.000,6.800,25.000,0.247,0.297,0.337,0.634
Trey Michalczewski,495.000,9.100,28.300,0.273,0.348,0.433,0.781
Troy Hanzawa,472.000,5.100,21.200,0.267,0.325,0.350,0.675
Tucker Neuhaus,413.000,8.000,18.600,0.249,0.307,0.355,0.662
Tucker Tubbs,417.000,9.600,22.300,0.233,0.317,0.358,0.674
Tuffy Gosewisch,381.000,7.600,18.100,0.224,0.296,0.351,0.647
Ty Kelly,553.119,12.190,13.040,0.266,0.360,0.350,0.709
Ty Morrison,512.000,8.400,26.000,0.250,0.324,0.394,0.718
Ty Ross,472.000,8.100,18.400,0.246,0.313,0.347,0.660
Ty Young,390.000,10.800,24.400,0.252,0.355,0.432,0.787
Tyler Bortnick,487.000,12.900,13.800,0.303,0.408,0.451,0.859
Tyler Burnett,409.000,9.800,18.300,0.249,0.324,0.347,0.671
Tyler Flowers,445.000,11.000,16.600,0.298,0.378,0.488,0.866
Tyler Goeddel,445.947,8.865,21.907,0.248,0.323,0.381,0.703
Tyler Grimes,381.000,11.300,26.000,0.202,0.315,0.339,0.653
Tyler Henson,541.000,4.600,22.400,0.265,0.310,0.392,0.703
Tyler Hill,513.000,7.200,14.400,0.272,0.342,0.390,0.732
Tyler Horan,417.000,9.400,23.300,0.273,0.350,0.481,0.831
Tyler Kolodny,429.000,9.800,22.600,0.226,0.332,0.372,0.704
Tyler Marincov,461.000,10.200,23.400,0.261,0.343,0.479,0.821
Tyler Massey,421.577,6.574,21.156,0.242,0.295,0.347,0.642
Tyler Moore,477.000,8.400,23.300,0.297,0.363,0.447,0.809
Tyler Ogle,548.000,17.500,13.900,0.252,0.401,0.389,0.790
Tyler Pastornicky,459.000,8.500,10.900,0.269,0.336,0.346,0.682
Tyler Sullivan,589.000,10.000,15.400,0.255,0.338,0.327,0.665
Tyler Wade,576.000,9.900,20.500,0.272,0.350,0.349,0.699
Tyreace House,483.701,14.671,17.821,0.222,0.349,0.256,0.604
Tyrone Taylor,549.000,6.400,11.500,0.274,0.338,0.400,0.738
Tyson Auer,552.000,8.200,21.200,0.277,0.344,0.346,0.691
Tzu-Wei Lin,467.000,11.600,15.800,0.229,0.315,0.296,0.611
Valentino Arce,378.000,6.900,9.800,0.259,0.331,0.301,0.631
Victor Caratini,423.000,9.000,16.300,0.277,0.346,0.402,0.748
Victor Cruzado,421.000,13.800,18.500,0.273,0.371,0.404,0.774
Victor Ferrante,402.000,9.200,27.400,0.269,0.356,0.488,0.844
Victor Reyes,458.000,4.800,12.700,0.311,0.343,0.389,0.732
Victor Roache,519.000,8.900,26.400,0.248,0.322,0.440,0.762
Vince Fernandez,428.000,10.300,28.500,0.269,0.352,0.464,0.816
Vinnie Catricala,577.000,9.700,19.400,0.302,0.386,0.488,0.874
Viosergy Rosa,549.000,13.500,21.700,0.252,0.362,0.452,0.814
Wade Gaynor,574.000,8.000,19.300,0.286,0.354,0.436,0.789
Wade Hinkle,507.000,10.700,17.600,0.270,0.359,0.435,0.794
Wade Kirkland,424.000,6.600,23.300,0.237,0.306,0.398,0.705
Walker Gourley,480.000,5.400,17.900,0.304,0.350,0.396,0.747
