Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Nick Ciolli,467.000,3.600,26.300,0.296,0.320,0.451,0.771,0.000
Nick Evans,565.000,8.000,17.500,0.254,0.320,0.419,0.739,0.000
Nick Francis,447.000,6.300,27.300,0.275,0.320,0.467,0.787,0.000
Nick Franklin,574.000,8.700,21.400,0.281,0.351,0.485,0.837,0.000
Nick Gordon,535.000,7.300,16.400,0.277,0.336,0.360,0.696,0.000
Nick Liles,564.000,6.400,10.800,0.316,0.361,0.387,0.747,0.000
Nick Longhi,488.000,7.000,18.000,0.281,0.338,0.403,0.741,0.000
Nick Longmire,405.000,7.200,20.500,0.242,0.301,0.367,0.668,0.000
Nick Martini,500.536,10.635,10.233,0.260,0.352,0.338,0.689,0.000
Nick Noonan,532.000,4.300,18.400,0.279,0.315,0.415,0.730,0.000
Nick Ramirez,414.000,6.300,34.800,0.248,0.295,0.446,0.741,0.000
Nick Shaw,566.000,14.500,14.500,0.260,0.374,0.333,0.707,0.000
Nick Tanielu,463.000,6.500,14.000,0.308,0.354,0.434,0.789,0.000
Nick Thompson,486.000,10.700,23.700,0.248,0.344,0.393,0.737,0.000
Nick Weglarz,532.000,15.400,24.200,0.276,0.395,0.497,0.892,0.000
Nick Williams,404.000,3.700,27.200,0.293,0.337,0.543,0.879,1.000
Nick Zammarelli III,446.000,8.100,24.900,0.282,0.348,0.406,0.754,0.000
Nicky Delmonico,393.000,12.000,18.600,0.249,0.351,0.411,0.762,0.000
Nik Balog,412.000,4.900,19.900,0.266,0.313,0.371,0.684,0.000
Niko Goodrum,455.000,13.200,23.100,0.260,0.364,0.369,0.732,0.000
Nino Leyja,477.000,9.900,24.700,0.235,0.320,0.349,0.669,0.000
Niuman Romero,480.000,11.500,17.300,0.228,0.318,0.274,0.593,0.000
Noah Perio,519.000,3.700,12.300,0.295,0.323,0.406,0.729,0.000
Nolan Arenado,402.000,4.700,12.900,0.308,0.338,0.520,0.858,1.000
Nomar Mazara,484.547,10.464,23.802,0.249,0.333,0.424,0.757,1.000
O'Koyea Dickson,451.000,10.200,14.400,0.272,0.366,0.479,0.845,0.000
Odubel Herrera,505.000,4.800,15.400,0.306,0.349,0.394,0.744,1.000
Ofilio Castro,532.000,11.300,12.200,0.253,0.342,0.346,0.689,0.000
Oliver Dominguez,383.000,14.400,19.800,0.217,0.333,0.326,0.659,0.000
Oliver Zapata,434.279,9.449,20.975,0.233,0.311,0.328,0.639,0.000
Omar Carrizales,436.000,7.100,17.000,0.286,0.333,0.410,0.743,0.000
Omar Estevez,508.000,5.100,23.800,0.255,0.298,0.389,0.687,0.000
Omar Garcia,456.000,7.700,16.900,0.263,0.342,0.322,0.664,0.000
Omar Luna,413.000,3.900,14.000,0.251,0.282,0.318,0.600,0.000
Omar Obregon,502.000,7.600,11.600,0.274,0.336,0.317,0.654,0.000
Oneil Cruz,438.000,8.200,30.100,0.237,0.297,0.350,0.647,0.000
Orlando Arcia,486.000,7.200,8.200,0.251,0.314,0.333,0.647,0.000
Orlando Sandoval,389.000,7.700,26.500,0.279,0.358,0.410,0.767,0.000
Oscar Hernandez,397.000,6.300,19.600,0.249,0.301,0.401,0.701,0.000
Oscar Mercado,513.000,4.500,11.900,0.254,0.297,0.341,0.638,0.000
Oscar Tejeda,404.158,6.222,20.424,0.259,0.306,0.339,0.645,0.000
Osvaldo Abreu,513.000,9.700,17.300,0.274,0.357,0.412,0.769,0.000
Osvaldo Morales,405.000,8.600,29.400,0.216,0.289,0.385,0.674,0.000
Ovandy Suero,404.000,5.200,23.000,0.231,0.278,0.272,0.550,0.000
Ozzie Albies,439.000,8.200,12.800,0.310,0.368,0.404,0.771,1.000
Ozzie Lewis,437.000,5.500,20.800,0.272,0.317,0.384,0.701,0.000
P.J. Higgins,537.000,13.400,14.000,0.283,0.389,0.355,0.744,0.000
P.J. Phillips,461.000,3.300,33.400,0.245,0.283,0.397,0.680,0.000
Pablo Reyes,459.000,9.800,13.700,0.268,0.345,0.438,0.783,0.000
Pablo Sandoval,473.000,4.700,15.600,0.265,0.309,0.322,0.631,1.000
Parker Berberet,380.000,8.200,15.300,0.257,0.327,0.381,0.708,0.000
Pat Blair,392.000,11.200,15.300,0.252,0.341,0.344,0.685,0.000
Pat Porter,386.000,9.800,27.200,0.185,0.286,0.331,0.618,0.000
Patrick Biondi,474.000,11.400,18.600,0.233,0.327,0.297,0.624,0.000
Patrick Leonard,493.000,8.500,23.900,0.225,0.303,0.345,0.648,0.000
Patrick Norris,430.000,7.200,18.600,0.244,0.304,0.272,0.576,0.000
Patrick Wisdom,423.000,9.900,27.000,0.231,0.312,0.411,0.723,0.000
Paul Gran,515.000,9.700,17.700,0.261,0.344,0.350,0.694,0.000
Paul Hendrix,472.000,10.400,29.200,0.287,0.364,0.448,0.813,0.000
Paul Hoenecke,539.000,8.700,18.400,0.247,0.315,0.425,0.741,0.000
Paul Hoilman,473.000,10.600,32.800,0.237,0.326,0.392,0.718,0.000
Paul Kelly,423.000,7.600,14.200,0.280,0.352,0.384,0.736,0.000
Paulo Orlando,503.000,3.600,28.400,0.262,0.305,0.391,0.696,1.000
