Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Laynce Nix,420.000,8.600,21.000,0.410,0.284,0.348,0.539,0.887
Leandro Castro,464.078,4.516,15.838,0.291,0.258,0.294,0.367,0.661
Leonys Martin,388.000,5.400,22.900,0.240,0.306,0.346,0.492,0.838
Leslie Anderson,490.065,6.610,11.802,0.557,0.293,0.347,0.441,0.788
Logan Schafer,470.740,6.914,14.584,0.467,0.264,0.324,0.395,0.719
Logan Watkins,472.000,11.000,20.800,0.530,0.243,0.333,0.379,0.711
Lorenzo Cain,549.000,7.300,18.600,0.390,0.312,0.380,0.497,0.877
Lou Merloni,446.000,9.000,11.400,0.780,0.254,0.324,0.341,0.665
Lucas May,390.000,8.700,20.300,0.430,0.291,0.355,0.501,0.856
Luis Alfonso Cruz,518.000,2.900,10.800,0.270,0.281,0.309,0.414,0.723
Luis Antonio Rodriguez,441.101,10.133,9.463,1.076,0.284,0.359,0.451,0.810
Luis Durango,504.204,9.571,15.044,0.646,0.294,0.363,0.331,0.694
Luis Figueroa,455.351,6.463,7.024,0.969,0.299,0.346,0.394,0.740
Luis Hernandez,512.819,5.157,15.210,0.345,0.252,0.293,0.357,0.650
Luis Jimenez,494.473,7.462,15.700,0.458,0.298,0.351,0.503,0.853
Luis Matos,438.000,5.500,14.600,0.380,0.250,0.323,0.352,0.675
Luis Rivas,465.000,9.000,14.800,0.610,0.263,0.341,0.400,0.741
Luis Sardinas,416.000,4.800,13.000,0.370,0.282,0.319,0.359,0.678
Luis Terrero,555.000,7.700,21.300,0.360,0.274,0.339,0.447,0.786
Luis Valbuena,472.000,9.700,20.300,0.480,0.302,0.372,0.476,0.848
Luke Montz,420.000,10.700,24.000,0.450,0.222,0.310,0.495,0.804
Mac Williamson,382.000,6.500,26.200,0.250,0.244,0.301,0.423,0.724
Maikel Franco,556.000,5.400,14.600,0.370,0.257,0.299,0.428,0.727
Manny Alexander,472.000,7.400,12.300,0.600,0.265,0.323,0.363,0.686
Manuel Margot,566.000,6.400,11.300,0.560,0.304,0.351,0.426,0.777
Marc Maddox,413.000,8.500,13.600,0.630,0.263,0.336,0.349,0.685
Mark Bellhorn,399.000,15.800,23.300,0.680,0.255,0.382,0.436,0.817
Mark Canha,537.000,10.600,20.900,0.510,0.303,0.384,0.505,0.889
Mark Hallberg,441.383,9.841,7.828,1.357,0.271,0.346,0.373,0.719
Mark Saccomanno,541.816,6.292,18.159,0.351,0.284,0.331,0.482,0.812
Mark Teahen,500.000,9.000,20.400,0.440,0.260,0.328,0.360,0.688
Mark Trumbo,595.000,9.700,21.200,0.460,0.301,0.368,0.577,0.945
Mark Zagunis,408.000,17.200,22.800,0.750,0.267,0.404,0.455,0.859
