,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
199,Fred Lewis,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
200,Freddie Freeman,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
201,Garrett Jones,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
202,George Kottaras,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
203,Geovany Soto,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
204,Giovanny Urshela,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
205,Gorkys Hernandez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
206,Grant Green,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
207,Greg Dobbs,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
208,Greg Garcia,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
209,Greg Halman,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
210,Gregor Blanco,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
211,Gregorio Petit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
212,Hank Conger,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
213,Hector Gomez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
214,Hector Luna,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215,Hernan Perez,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
216,Hunter Renfroe,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0
217,Ian Stewart,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
218,Irving Falu,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
219,J.B. Shuck,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
220,J.P. Arencibia,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
